"C1","445-1378-1-ND","C1"
"C2","445-1378-1-ND","C2"
"C3","445-4024-1-ND","C3"
"C4","445-1378-1-ND","C4"
"C5","445-1378-1-ND","C5"
"C6","712-1384-1-ND","C6"
"C7","712-1384-1-ND","C7"
"C8","445-1378-1-ND","C8"
"C9","445-1378-1-ND","C9"
"C10","445-1378-1-ND","C10"
"C11","445-1378-1-ND","C11"
"C12","445-1378-1-ND","C12"
"C13","445-1378-1-ND","C13"
"C14","445-1378-1-ND","C14"
"C15","445-1378-1-ND","C15"
"C16","445-1378-1-ND","C16"
"C17","445-1378-1-ND","C17"
"C18","445-1378-1-ND","C18"
"C19","445-4011-1-ND ","C19"
"C20","445-1378-1-ND","C20"
"C21","493-2351-1-ND","C21"
"D1","10MQ060NPBFCT-ND","D1"
"D2","160-1172-1-ND","D2"
"D3","160-1172-1-ND","D3"
"FB1","A102194CT-ND","FB1"
"FB2","A102194CT-ND","FB2"
"P1","A99996TR-ND ","P1"
"P2",,"P2"
"P3",,"P3"
"P4","A100102-ND ","P4"
"P5","A99996TR-ND ","P5"
"Q1","497-2757-5-ND","Q1"
"Q?","568-1636-1-ND","Q?"
"R1","P49.9FCT-ND ","R1"
"R2","P49.9FCT-ND ","R2"
"R3","P100KECT-ND","R3"
"R4","P49.9FCT-ND ","R4"
"R5","P49.9FCT-ND ","R5"
"R6","P100ECT-ND ","R6"
"R7","P68ECT-ND","R7"
"R8","P680ECT-ND","R8"
"R9","P2.26KFCT-ND ","R9"
"R10","P1.0MECT-ND ","R10"
"R11","P4.7KECT-ND ","R11"
"R12","P1.0KECT-ND ","R12"
"R13","P220ECT-ND","R13"
"R14","P220ECT-ND","R14"
"R15","P220ECT-ND","R15"
"R16","P220ECT-ND","R16"
"R17","P100ECT-ND ","R17"
"R18","P10KECT-ND","R18"
"R19","P470ECT-ND","R19"
"R20","P1.0KECT-ND ","R20"
"R21","P470ECT-ND","R21"
"SW1","CKN10226CT-ND","SW1"
"U1","NC7SB3157P6XCT-ND","U1"
"U2","NC7SB3157P6XCT-ND","U2"
"U3","PS2501L-1-F3-L-ACT-ND","U3"
"U4","25LC256-I/SN-ND","U4"
"U5","PIC18F97J60-I/PT-ND ","U5"
"U6","LM7805CT-ND","U6"
"U7","LM1117T-3.3/NOPB-ND","U7"
"X1","XC1671CT-ND","X1"
